date,service,region,daily_cost,resource_count,provider
2025-01-01,EC2,us-east-1,1041.54,4,AWS
2025-01-01,EC2,us-west-2,136.81,50,AWS
2025-01-01,EC2,eu-west-1,679.53,7,AWS
2025-01-01,EC2,ap-southeast-1,548.07,47,AWS
2025-01-01,RDS,us-east-1,334.31,17,AWS
2025-01-01,RDS,us-west-2,431.8,27,AWS
2025-01-01,RDS,eu-west-1,1012.36,27,AWS
2025-01-01,RDS,ap-southeast-1,1025.34,4,AWS
2025-01-01,S3,us-east-1,902.58,24,AWS
2025-01-01,S3,us-west-2,341.36,31,AWS
2025-01-01,S3,eu-west-1,240.4,33,AWS
2025-01-01,S3,ap-southeast-1,224.63,3,AWS
2025-01-01,Lambda,us-east-1,923.4,29,AWS
2025-01-01,Lambda,us-west-2,424.34,25,AWS
2025-01-01,Lambda,eu-west-1,744.38,10,AWS
2025-01-01,Lambda,ap-southeast-1,105.23,28,AWS
2025-01-01,CloudFront,us-east-1,625.6,36,AWS
2025-01-01,CloudFront,us-west-2,407.88,18,AWS
2025-01-01,CloudFront,eu-west-1,165.99,14,AWS
2025-01-01,CloudFront,ap-southeast-1,278.36,46,AWS
2025-01-01,ELB,us-east-1,1126.22,8,AWS
2025-01-01,ELB,us-west-2,466.94,19,AWS
2025-01-01,ELB,eu-west-1,564.93,24,AWS
2025-01-01,ELB,ap-southeast-1,250.24,10,AWS
2025-01-02,EC2,us-east-1,802.15,7,AWS
2025-01-02,EC2,us-west-2,311.4,20,AWS
2025-01-02,EC2,eu-west-1,284.47,18,AWS
2025-01-02,EC2,ap-southeast-1,737.75,12,AWS
2025-01-02,RDS,us-east-1,912.1,23,AWS
2025-01-02,RDS,us-west-2,398.23,44,AWS
2025-01-02,RDS,eu-west-1,453.32,11,AWS
2025-01-02,RDS,ap-southeast-1,901.66,6,AWS
2025-01-02,S3,us-east-1,937.08,20,AWS
2025-01-02,S3,us-west-2,520.12,35,AWS
2025-01-02,S3,eu-west-1,367.71,5,AWS
2025-01-02,S3,ap-southeast-1,407.71,47,AWS
2025-01-02,Lambda,us-east-1,440.08,30,AWS
2025-01-02,Lambda,us-west-2,222.93,47,AWS
2025-01-02,Lambda,eu-west-1,383.12,14,AWS
2025-01-02,Lambda,ap-southeast-1,245.02,15,AWS
2025-01-02,CloudFront,us-east-1,651.57,47,AWS
2025-01-02,CloudFront,us-west-2,1032.29,44,AWS
2025-01-02,CloudFront,eu-west-1,966.38,37,AWS
2025-01-02,CloudFront,ap-southeast-1,749.54,5,AWS
2025-01-02,ELB,us-east-1,510.96,30,AWS
2025-01-02,ELB,us-west-2,356.55,45,AWS
2025-01-02,ELB,eu-west-1,808.64,48,AWS
2025-01-02,ELB,ap-southeast-1,532.93,21,AWS
2025-01-03,EC2,us-east-1,209.64,19,AWS
2025-01-03,EC2,us-west-2,642.07,18,AWS
2025-01-03,EC2,eu-west-1,184.73,21,AWS
2025-01-03,EC2,ap-southeast-1,672.48,18,AWS
2025-01-03,RDS,us-east-1,763.46,21,AWS
2025-01-03,RDS,us-west-2,115.41,36,AWS
2025-01-03,RDS,eu-west-1,495.75,10,AWS
2025-01-03,RDS,ap-southeast-1,879.8,40,AWS
2025-01-03,S3,us-east-1,94.97,30,AWS
2025-01-03,S3,us-west-2,583.63,24,AWS
2025-01-03,S3,eu-west-1,783.11,26,AWS
2025-01-03,S3,ap-southeast-1,480.47,23,AWS
2025-01-03,Lambda,us-east-1,514.0,46,AWS
2025-01-03,Lambda,us-west-2,829.9,18,AWS
2025-01-03,Lambda,eu-west-1,799.11,7,AWS
2025-01-03,Lambda,ap-southeast-1,470.63,6,AWS
2025-01-03,CloudFront,us-east-1,475.58,40,AWS
2025-01-03,CloudFront,us-west-2,230.71,25,AWS
2025-01-03,CloudFront,eu-west-1,366.85,40,AWS
2025-01-03,CloudFront,ap-southeast-1,1035.37,42,AWS
2025-01-03,ELB,us-east-1,467.61,16,AWS
2025-01-03,ELB,us-west-2,725.39,15,AWS
2025-01-03,ELB,eu-west-1,1012.32,26,AWS
2025-01-03,ELB,ap-southeast-1,901.17,26,AWS
2025-01-04,EC2,us-east-1,434.39,1,AWS
2025-01-04,EC2,us-west-2,388.93,22,AWS
2025-01-04,EC2,eu-west-1,478.22,13,AWS
2025-01-04,EC2,ap-southeast-1,628.86,23,AWS
2025-01-04,RDS,us-east-1,455.98,42,AWS
2025-01-04,RDS,us-west-2,786.53,47,AWS
