date,service,region,daily_cost,resource_count,provider
2025-01-01,EC2,us-east-1,719.95,10,AWS
2025-01-01,EC2,us-west-2,455.04,45,AWS
2025-01-01,EC2,eu-west-1,449.94,5,AWS
2025-01-01,EC2,ap-southeast-1,447.97,28,AWS
2025-01-01,RDS,us-east-1,921.09,7,AWS
2025-01-01,RDS,us-west-2,130.24,35,AWS
2025-01-01,RDS,eu-west-1,715.37,11,AWS
2025-01-01,RDS,ap-southeast-1,179.56,22,AWS
2025-01-01,S3,us-east-1,878.56,20,AWS
2025-01-01,S3,us-west-2,502.01,1,AWS
2025-01-01,S3,eu-west-1,185.03,40,AWS
2025-01-01,S3,ap-southeast-1,779.76,28,AWS
2025-01-01,Lambda,us-east-1,963.06,17,AWS
2025-01-01,Lambda,us-west-2,573.89,8,AWS
2025-01-01,Lambda,eu-west-1,408.37,35,AWS
2025-01-01,Lambda,ap-southeast-1,609.17,24,AWS
2025-01-01,CloudFront,us-east-1,515.76,3,AWS
2025-01-01,CloudFront,us-west-2,724.42,39,AWS
2025-01-01,CloudFront,eu-west-1,562.36,28,AWS
2025-01-01,CloudFront,ap-southeast-1,751.98,46,AWS
2025-01-01,ELB,us-east-1,227.46,38,AWS
2025-01-01,ELB,us-west-2,451.35,42,AWS
2025-01-01,ELB,eu-west-1,519.77,48,AWS
2025-01-01,ELB,ap-southeast-1,352.16,3,AWS
2025-01-02,EC2,us-east-1,356.04,40,AWS
2025-01-02,EC2,us-west-2,381.51,9,AWS
2025-01-02,EC2,eu-west-1,253.76,2,AWS
2025-01-02,EC2,ap-southeast-1,225.46,24,AWS
2025-01-02,RDS,us-east-1,260.77,39,AWS
2025-01-02,RDS,us-west-2,594.47,1,AWS
2025-01-02,RDS,eu-west-1,794.65,41,AWS
2025-01-02,RDS,ap-southeast-1,1146.94,16,AWS
2025-01-02,S3,us-east-1,550.23,33,AWS
2025-01-02,S3,us-west-2,436.91,31,AWS
2025-01-02,S3,eu-west-1,543.35,39,AWS
2025-01-02,S3,ap-southeast-1,287.27,33,AWS
2025-01-02,Lambda,us-east-1,639.67,18,AWS
2025-01-02,Lambda,us-west-2,109.31,23,AWS
2025-01-02,Lambda,eu-west-1,857.1,34,AWS
2025-01-02,Lambda,ap-southeast-1,543.64,33,AWS
2025-01-02,CloudFront,us-east-1,603.33,14,AWS
2025-01-02,CloudFront,us-west-2,307.19,50,AWS
2025-01-02,CloudFront,eu-west-1,173.56,26,AWS
2025-01-02,CloudFront,ap-southeast-1,331.41,40,AWS
2025-01-02,ELB,us-east-1,301.01,29,AWS
2025-01-02,ELB,us-west-2,263.7,7,AWS
2025-01-02,ELB,eu-west-1,240.32,39,AWS
2025-01-02,ELB,ap-southeast-1,610.01,35,AWS
2025-01-03,EC2,us-east-1,663.71,16,AWS
2025-01-03,EC2,us-west-2,687.6,37,AWS
2025-01-03,EC2,eu-west-1,156.38,10,AWS
2025-01-03,EC2,ap-southeast-1,124.81,9,AWS
2025-01-03,RDS,us-east-1,416.92,16,AWS
2025-01-03,RDS,us-west-2,387.39,2,AWS
2025-01-03,RDS,eu-west-1,841.84,16,AWS
2025-01-03,RDS,ap-southeast-1,366.63,41,AWS
2025-01-03,S3,us-east-1,317.56,23,AWS
2025-01-03,S3,us-west-2,240.53,42,AWS
2025-01-03,S3,eu-west-1,843.04,2,AWS
2025-01-03,S3,ap-southeast-1,871.25,27,AWS
2025-01-03,Lambda,us-east-1,635.94,7,AWS
2025-01-03,Lambda,us-west-2,760.3,33,AWS
2025-01-03,Lambda,eu-west-1,396.82,36,AWS
2025-01-03,Lambda,ap-southeast-1,440.47,20,AWS
2025-01-03,CloudFront,us-east-1,557.94,30,AWS
2025-01-03,CloudFront,us-west-2,728.01,34,AWS
2025-01-03,CloudFront,eu-west-1,227.23,43,AWS
2025-01-03,CloudFront,ap-southeast-1,1047.23,9,AWS
2025-01-03,ELB,us-east-1,480.9,13,AWS
2025-01-03,ELB,us-west-2,914.46,42,AWS
2025-01-03,ELB,eu-west-1,167.25,37,AWS
2025-01-03,ELB,ap-southeast-1,777.41,44,AWS
2025-01-04,EC2,us-east-1,873.98,40,AWS
2025-01-04,EC2,us-west-2,267.44,17,AWS
2025-01-04,EC2,eu-west-1,547.49,26,AWS
2025-01-04,EC2,ap-southeast-1,366.45,2,AWS
2025-01-04,RDS,us-east-1,563.37,20,AWS
2025-01-04,RDS,us-west-2,458.85,19,AWS
2025-01-04,RDS,eu-west-1,818.75,50,AWS
2025-01-04,RDS,ap-southeast-1,302.46,23,AWS
2025-01-04,S3,us-east-1,218.26,35,AWS
2025-01-04,S3,us-west-2,320.59,1,AWS
2025-01-04,S3,eu-west-1,116.99,15,AWS
2025-01-04,S3,ap-southeast-1,520.98,10,AWS
2025-01-04,Lambda,us-east-1,366.63,50,AWS
2025-01-04,Lambda,us-west-2,787.12,27,AWS
2025-01-04,Lambda,eu-west-1,747.1,42,AWS
2025-01-04,Lambda,ap-southeast-1,630.14,13,AWS
2025-01-04,CloudFront,us-east-1,452.19,5,AWS
2025-01-04,CloudFront,us-west-2,374.5,30,AWS
2025-01-04,CloudFront,eu-west-1,742.2,48,AWS
2025-01-04,CloudFront,ap-southeast-1,506.23,46,AWS
2025-01-04,ELB,us-east-1,822.33,6,AWS
2025-01-04,ELB,us-west-2,117.21,39,AWS
2025-01-04,ELB,eu-west-1,876.07,25,AWS
2025-01-04,ELB,ap-southeast-1,575.86,4,AWS
2025-01-05,EC2,us-east-1,797.77,45,AWS
2025-01-05,EC2,us-west-2,521.94,15,AWS
2025-01-05,EC2,eu-west-1,804.1,35,AWS
2025-01-05,EC2,ap-southeast-1,407.71,2,AWS
2025-01-05,RDS,us-east-1,375.17,34,AWS
2025-01-05,RDS,us-west-2,360.79,31,AWS
2025-01-05,RDS,eu-west-1,253.08,4,AWS
2025-01-05,RDS,ap-southeast-1,343.89,18,AWS
2025-01-05,S3,us-east-1,559.0,2,AWS
2025-01-05,S3,us-west-2,482.11,19,AWS
2025-01-05,S3,eu-west-1,213.53,38,AWS
2025-01-05,S3,ap-southeast-1,733.09,18,AWS
2025-01-05,Lambda,us-east-1,951.94,17,AWS
2025-01-05,Lambda,us-west-2,838.6,29,AWS
2025-01-05,Lambda,eu-west-1,129.1,43,AWS
2025-01-05,Lambda,ap-southeast-1,740.42,5,AWS
2025-01-05,CloudFront,us-east-1,869.2,45,AWS
2025-01-05,CloudFront,us-west-2,581.37,41,AWS
